date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:31	46538/46538	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:02:33%20GMT	http://bapatv.live/	C:/My%20Web%20Sites/tv/bapatv.live/index.html	(from )
09:02:31	273/273	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2003:02:33%20GMT	http://bapatv.live/robots.txt		(from )
09:02:32	160257/160257	---M-Z	200	added ('OK')	text/css	etag:%2227201-5ee28286eb600-gzip%22	http://bapatv.live/css/bootstrap.min.css	C:/My%20Web%20Sites/tv/bapatv.live/css/bootstrap.min.css	(from http://bapatv.live/)
09:02:33	1142/1142	---M--	200	added ('OK')	image/png	etag:%22476-5eaac810de800%22	http://bapatv.live/favicon.png	C:/My%20Web%20Sites/tv/bapatv.live/favicon.png	(from http://bapatv.live/)
09:02:33	46607/46607	---M-Z	200	added ('OK')	text/css	etag:%22b60f-5ed4cfc50bb80-gzip%22	http://bapatv.live/css/video-js.css	C:/My%20Web%20Sites/tv/bapatv.live/css/video-js.css	(from http://bapatv.live/)
09:02:34	1927/1927	---M-Z	200	added ('OK')	text/css	etag:%22787-5ee24afba2a80-gzip%22	http://bapatv.live/css/style.css?v=2	C:/My%20Web%20Sites/tv/bapatv.live/css/style5e1f.css	(from http://bapatv.live/)
09:02:34	1348/1348	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:02:36%20GMT	http://bapatv.live/play.php?stream=361	C:/My%20Web%20Sites/tv/bapatv.live/play5cb3.html	(from http://bapatv.live/)
09:02:49	87668/87668	---M--	200	added ('OK')	image/png	etag:%2215674-626c335b1993a%22	http://bapatv.live/assets/images/Star%20Sports%2011731469721.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Star%20Sports%2011731469721.png	(from http://bapatv.live/)
09:02:49	1342/1342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:02:50%20GMT	http://bapatv.live/play.php?stream=319	C:/My%20Web%20Sites/tv/bapatv.live/play2098.html	(from http://bapatv.live/)
09:03:05	99254/99254	---M--	200	added ('OK')	image/png	etag:%22183b6-626b4d83f3345%22	http://bapatv.live/assets/images/Sony%20Ten%2021731408024.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Sony%20Ten%2021731408024.png	(from http://bapatv.live/)
